Beinn Eunaich,-5.028964377,56.45036687
Sgurr Ban,-5.268861127,57.71856214
Creag Leacach,-3.387979157,56.85464208
Druim Shionnach,-5.185555419,57.12682187
Gulvain [Gaor Bheinn],-5.287498564,56.93623323
Lurg Mhor,-5.226498638,57.41311233
Conival,-4.885540262,58.13571432
Sgurr Mhor (Beinn Alligin),-5.576622956,57.59084643
Sgurr Dearg - Inaccessible Pinnacle,-6.241234863,57.2132838
Ben Vorlich,-4.220388053,56.34268971
Mullach na Dheiragain,-5.18907993,57.28342322
An Gearanach,-4.968433134,56.75918957
Meall na Aighean,-4.129548727,56.6206318
Stob Coire a' Chairn,-4.97119444,56.75077373
Slioch,-5.350227495,57.66720047
Maol Chinn-dearg,-5.255552552,57.12758176
Beinn a' Chochuill,-5.0709579,56.44979571
Stob Coire Sgriodain,-4.696566506,56.83176128
Ciste Dhubh,-5.211800793,57.19926909
Beinn Dubhchraig,-4.744932408,56.39131089
Cona' Mheall,-4.905490898,57.79110029
Stob Ban,-4.842802415,56.81067279
Meall nan Ceapraichean,-4.93615063,57.7985378
Carn Liath (Beinn a' Ghlo),-3.744546843,56.80778957
Stuc a' Chroin,-4.238479134,56.32932474
Carn a' Gheoidh,-3.466882975,56.87307547
Ben Lomond,-4.634545486,56.19030474
Beinn Sgritheall,-5.583582762,57.15384132
A' Mharconaich,-4.291676513,56.85701959
Sgurr a' Ghreadaidh,-6.240841971,57.22734425
Meall Garbh,-4.208372154,56.63739399
Sgorr nam Fiannaidh (Aonach Eagach),-5.039484759,56.67938817
A' Mhaighdean,-5.349902737,57.71967674
Sgurr nan Gillean,-6.199393643,57.24824536
Ben More,-6.019436678,56.4248497
Sgurr na Banachdich,-6.248087425,57.22100314
Carn a' Chlamain,-3.78010251,56.86098339
Sgurr Thuilm,-5.392486888,56.93707715
Ben Klibreck - Meall nan Con,-4.412317675,58.23522335
Sgorr Ruadh,-5.411093332,57.49864991
Stuchd an Lochain [Stuc an Lochain],-4.471872419,56.57092068
Beinn nan Aighenan,-5.01354302,56.52023401
Meall Glas,-4.548206107,56.45572738
Beinn Fhionnlaidh,-5.107263626,56.60099855
Bruach na Frithe,-6.217088767,57.24677395
Stob Dubh (Buachaille Etive Beag),-4.972972384,56.63817783
Tolmount,-3.298119131,56.90474337
Tom Buidhe,-3.292543978,56.89363366
Carn Ghluasaid,-5.070593491,57.16597721
Sgurr nan Coireachan,-5.452004526,56.93574946
Saileag,-5.284305998,57.18128987
Sgor Gaibhre,-4.547892203,56.77257159
Beinn Liath Mhor Fannaich,-4.992034651,57.70611979
Sgurr nan Coireachan,-5.408769543,57.00717791
Stob na Broige (Buachaille Etive Mor),-4.953311575,56.6298991
Beinn Mhanach,-4.647595225,56.53405462
Am Faochagach,-4.855851358,57.77182556
Meall Dearg (Aonach Eagach),-5.005548812,56.68074024
Meall Chuaich,-4.113365828,56.96387482
Meall Gorm,-4.98604693,57.68087129
Beinn Bhuidhe,-4.908782581,56.32667601
Sgurr Mhic Choinnich,-6.230481202,57.20895956
Driesh,-3.196673629,56.84799619
Sgurr na Sgine,-5.399945969,57.14712442
Creag a' Mhaim,-5.162704308,57.12098988
Meall Buidhe,-5.550092868,57.03158028
Beinn Tulaichean,-4.564739297,56.34223372
Carn Dearg,-4.254211603,57.09228223
Carn Bhac,-3.561199626,56.93055816
Stob a' Choire Odhair,-4.840230998,56.57332982
Bidein a' Choire Sheasgaich,-5.253376025,57.41973974
An Socach,-3.513457088,56.90231325
Sgurr Dubh Mor,-6.217733045,57.204926
Ben Vorlich,-4.756803469,56.27403064
Binnein Beag,-4.91323007,56.7669782
Beinn a' Chroin,-4.611129058,56.33200008
Carn Dearg,-4.591352716,56.75994929
Carn na Caim,-4.175327364,56.91175579
Mullach nan Coirean,-5.074890614,56.74988299
Mount Keen,-2.973696709,56.96976949
Luinne Bheinn,-5.517264747,57.04835335
Beinn Sgulaird,-5.173039478,56.56625268
Sron a' Choire Ghairbh,-4.930862097,57.00786118
A' Bhuidheanach Bheag,-4.199895124,56.87035891
Beinn na Lap,-4.661578828,56.78940734
Beinn Tarsuinn,-5.294661799,57.70207532
Meall a' Chrasgaidh,-5.051137093,57.71289113
Am Basteir,-6.209244014,57.24797113
The Cairnwell,-3.421442754,56.87953033
Maol Chean-dearg,-5.469067241,57.49172499
Fionn Bheinn,-5.105249252,57.61117461
Beinn Chabhair,-4.643031239,56.32578826
Meall Buidhe,-4.449878487,56.61724317
Ben Chonzie,-3.992735537,56.45385953
Beinn Bhreac,-3.553788927,57.05508678
A' Chailleach,-4.180161567,57.1095851
Bla Bheinn [Blaven] [Blabheinn],-6.099009435,57.21959617
Meall nan Eun,-4.945071525,56.56119722
Mayar,-3.246452019,56.84894686
Moruisg,-5.173330685,57.49974097
Beinn Narnain,-4.790822926,56.22096632
Eididh nan Clach Geala,-4.936342266,57.81352397
Ben Hope,-4.609367293,58.41313328
Sgurr nan Eag,-6.217573462,57.19583941
Geal Charn,-4.374697027,57.05744023
Beinn Liath Mhor,-5.403944133,57.51211051
Seana Bhraigh,-4.898680357,57.84735285
Meall a' Choire Leith,-4.260579405,56.5663268
Stob Coire Raineach (Buachaille Etive Beag) ,-4.953852677,56.64994854
Creag Pitridh,-4.486239259,56.89972871
An Coileachan,-4.951674283,57.66764667
Sgurr nan Each,-5.048754891,57.68103314
Tom na Gruagaich (Beinn Alligin),-5.585800145,57.58054546
An Socach,-5.173984744,57.25756665
Carn Sgulain,-4.177856848,57.12438864
Sgiath Chuil,-4.496958752,56.45316331
Gairich,-5.258742929,57.04489871
Ruadh Stac Mor,-5.332416868,57.72680648
A' Ghlas-bheinn,-5.306725626,57.25510561
Sgurr a' Mhadaidh,-6.238337189,57.23089976
Geal-charn,-4.305545734,56.87444977
Creag nan Damh,-5.338097447,57.14728853
Meall na Teanga,-4.933074509,56.98903351
Beinn a' Chleibh,-4.837546736,56.39024589
Ben Vane,-4.783461996,56.24979584
Carn Aosda,-3.423519652,56.89571474
Beinn Teallach,-4.696405168,56.93594671
